,description,label_model
0,Pergerakan Mahasiswa Islam Indonesia (PMII) hampir menerobos gerbang Balai Kota DKI Jakarta saat demonstrasi tolak kenaikan harga BBM. #TempoMetro https://t.co/qLMK4T3bbB,negatif
1,Pergerakan Mahasiswa Islam Indonesia (PMII) hampir menerobos gerbang Balai Kota DKI Jakarta saat demonstrasi tolak kenaikan harga BBM. #TempoMetro https://t.co/qLMK4T3bbB,negatif
2,"Demo menolak kenaikan harga BBM bersubsidi di kawasan Patung Kuda, Jakarta Pusat, diwarnai aksi pencopetan yang membuat puluhan peserta aksi kehilangan hand phone (HP) nya.
https://t.co/sEOlzl8MNW https://t.co/lOzpz6S5Mh",negatif
3,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
4,"Demo menolak kenaikan BBM bersubsidi dilakukan di seluruh negeri. Ini luar biasa tidak pernah terjadi sebelumnya. Mengapa terjadi demo sedemikian masif. Sila baca analisis saya sebagai sosiolog.

https://t.co/JyH25flOl7",negatif
5,"Avengers akhirnya ikut serta dibarisan abang² Mahasiswa untuk Menolak Kenaikan Harga BBM, kawasan Patung Kuda Jakarta.. ??????? (13/Sept/2022) https://t.co/HIqRmHimhG",negatif
6,Pergerakan Mahasiswa Islam Indonesia (PMII) hampir menerobos gerbang Balai Kota DKI Jakarta saat demonstrasi tolak kenaikan harga BBM. #TempoMetro https://t.co/qLMK4T3bbB,negatif
7,@Inijuju1 Yess apakah pengalihan kasus yg lebih besarrrr dari data negara? Kasus yg lebih besar daripada kenaikan tiba2 bbm? Apakah kenaikan bbm tiba tiba pun untuk pengalihan isu yg lebih besar lagikah ?? ????????????,netral
8,"Massa aksi sudah tiba di gedung Grahadi Surabaya, bersiap menyampaikan aspirasi dan tuntutan rakyat terutama atas kenaikan harga BBM. ??

Bersama @MprAldo dan @aliansibem_si

#PanjangUmurPerjuangan
#SurabayaPejuang
#IndonesiaBangkit https://t.co/MPna7F3bOa",negatif
9,Pergerakan Mahasiswa Islam Indonesia (PMII) hampir menerobos gerbang Balai Kota DKI Jakarta saat demonstrasi tolak kenaikan harga BBM. #TempoMetro https://t.co/qLMK4T3bbB,negatif
10,Terus Bergerak Tolak Kenaikan Harga BBM..!!! https://t.co/loNqtYG43E,negatif
11,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
12,"Contoh pemimpin sejati.
Gubernur Sumut temui massa demo kenaikan BBM.
""Indonesia tidak dalam kondisi baik2 saja"" https://t.co/c3js2buDmE",positif
13,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
14,Demo mahasiswa buruh Dan Rakyat Yang melawan terus berlanjut menolak kenaikan BBM Di patung Kuda 13-09-2022 https://t.co/qTRPaTCceS,negatif
15,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
16,[https://t.co/RbL6jdZ23s]  Mahasiswa IMM Lampung Utara Demo Tolak Kenaikan Harga BBM https://t.co/I7HSf2YLVT #daerah #pemerintahan #news #nasional #ekonomi,negatif
17,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos). https://t.co/wzkT9221Je",positif
18,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
19,"Indonesia 13 September 2022

Aksi tolak kenaikan harga bbm oleh adek-adek Mahasiswa dan STM tidak tersiar di televisi nasional Indonesia arus utama 

Media televisi dibungkam https://t.co/rMLjvrM5tp",negatif
20,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
21,"Suara Penolakan kenaikan harga BBM terus bergulir, hari ini Buruh Bekasi kembali turun ke jalan
#TolakKenaikanHarga_BBM 
#TolakTerusKenaikanBBM https://t.co/vIFFZdlzVx",negatif
22,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
23,"Suara Penolakan kenaikan harga BBM terus bergulir, hari ini Buruh Bekasi kembali turun ke jalan
#TolakKenaikanHarga_BBM 
#TolakTerusKenaikanBBM https://t.co/vIFFZdlzVx",negatif
24,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
25,https://t.co/4UANnFT9LR,negatif
26,Om telolet ?????????? https://t.co/ca8oT6AtD4,negatif
27,"Tetap Fokus Pada Masalah Rakyat Sekarang ;

?Tolak Kenaikan Harga BBM berSubsidi
?Usut Kasus Sambo Pembantaian Brigadir Jhosua 
?Usut kasus KM 50 Seadil-adilnya
?Usut Uang 11 Ribu Triliun 
?Dll",netral
28,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
29,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
30,"MEDAN KEREN !? 
Salah satu tuntutan penolakan kenaikan BBM.

Kenapa tidak ada penolakan rezim yg jadi biang kenaikan semua harga.? https://t.co/rlLRc3nCwC",netral
31,"@SartonoHutomo Batalkan kenaikan harga BBM! 
#AHYPemimpinPerubahan AHY Presiden!!! ???",netral
32,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
33,"@Ryu53944310 @alextham878 aduh.......

apa loe ga malu  dik @AgusYudhoyono ?

tapi... ok lah, kan situ waktu itu lagi tugas mangkanya ga tau apa yg terjadi...

BACA...!!!!
????

https://t.co/Q30KBgJBeh",netral
34,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
35,"Pangkal pinang 14 September 2022

Tolok kenaikan harga BBM https://t.co/dVRWhUQvZT",negatif
36,"Gaji Ahok 3,2 miliar/bln. Bkn awak iri, tp apa kontribusi Ahok? Yg ada rakyat dibikin susah dgn kenaikan hrg BBM.

Smentara THP bos2 pertamina miliaran rp stiap blnnya. Konyolnya lg pertamina ngaku rugi! ??????????????? https://t.co/W4GJuu57Zf",negatif
37,"@budimandjatmiko :

""Demonstrasi sah-sah saja dalam negara demokrasi tidak boleh dilarang. Asalkan jangan keras dan macam-macam,"" 

Jangan macam2 mungkin salah satunya adlh JANGAN ANARKIS, apalagi  ujung2nya MINTA TURUNKAN JOKOWI (Mimpi) ??

https://t.co/",netral
38,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
39,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
40,"Masyarakat Kesulitan Imbas BBM Naik, GMNI Pertanyakan Kenaikan Laba Pertamina
https://t.co/0QtZsMFGkB",negatif
